Title,col,Price,Field2_links
Escape Initiative,12 jun 2020,"
                        Gratis                    ",https://store.steampowered.com/app/1282110/Escape_Initiative/?snr=1_7_7_230_150_389
Loopomotive,31 mrt 2021,"
                        Gratis                    ",https://store.steampowered.com/app/1483890/Loopomotive/?snr=1_7_7_230_150_389
T-Kara Puzzles,1 jun 2016,"
                        4,99€                    ",https://store.steampowered.com/app/423220/TKara_Puzzles/?snr=1_7_7_230_150_389
Prism Collider,31 jan 2017,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/585770/Prism_Collider/?snr=1_7_7_230_150_389
コモラ・リアルワールドエスケープ,3 jul 2020,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1350820/_/?snr=1_7_7_230_150_389
ComixPlay #1: The Endless Incident,24 feb 2016,"
                        6,99€                    ",https://store.steampowered.com/app/425040/ComixPlay_1_The_Endless_Incident/?snr=1_7_7_230_150_389
Order Of The Gatekeepers,6 feb 2020,"
                        16,79€                    ",https://store.steampowered.com/app/744650/Order_Of_The_Gatekeepers/?snr=1_7_7_230_150_389
HereAfter,27 okt 2017,"
                        Gratis                    ",https://store.steampowered.com/app/652330/HereAfter/?snr=1_7_7_230_150_389
Into The Core,24 mei 2019,"
                        Gratis                    ",https://store.steampowered.com/app/1081160/Into_The_Core/?snr=1_7_7_230_150_389
Metro Warp,5 aug 2015,"
                        3,99€                    ",https://store.steampowered.com/app/383540/Metro_Warp/?snr=1_7_7_230_150_389
Kaz Ball,7 jun 2019,"
                        Gratis                    ",https://store.steampowered.com/app/766250/Kaz_Ball/?snr=1_7_7_230_150_389
Kitrinos: Inside the Cube,16 jul 2018,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/890300/Kitrinos_Inside_the_Cube/?snr=1_7_7_230_150_389
Colosseum VR,18 jun 2021,"
                        Gratis                    ",https://store.steampowered.com/app/1614850/Colosseum_VR/?snr=1_7_7_230_150_389
ChargeShot,18 sep 2015,"
                        9,99€                    ",https://store.steampowered.com/app/401840/ChargeShot/?snr=1_7_7_230_150_389
Prismatix,9 mrt 2018,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/805440/Prismatix/?snr=1_7_7_230_150_389
HueBots,26 aug 2015,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/397400/HueBots/?snr=1_7_7_230_150_389
Appetite for Detestation,19 mei 2021,"
                        Gratis                    ",https://store.steampowered.com/app/1622690/Appetite_for_Detestation/?snr=1_7_7_230_150_389
