Title,col,Price,Field2_links
Mad Mustache,7 jun 2021,"
                        3,29€                    ",https://store.steampowered.com/app/1644630/Mad_Mustache/?snr=1_7_7_230_150_822
XBall Champion,13 feb 2018,"
                        0,79€                    ",https://store.steampowered.com/app/794570/XBall_Champion/?snr=1_7_7_230_150_822
Boons Farm,16 aug 2018,"
                        0,79€                    ",https://store.steampowered.com/app/914500/Boons_Farm/?snr=1_7_7_230_150_822
Army of Squirrels,27 feb 2018,"
                        0,79€                    ",https://store.steampowered.com/app/793260/Army_of_Squirrels/?snr=1_7_7_230_150_822
Dangerous Orbit,13 feb 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1017370/Dangerous_Orbit/?snr=1_7_7_230_150_822
Rock'n Cow,31 aug 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1387980/Rockn_Cow/?snr=1_7_7_230_150_822
80S escape,5 mei 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1280910/80S_escape/?snr=1_7_7_230_150_822
Outline,23 mrt 2018,"
                        0,99€                    ",https://store.steampowered.com/app/812850/Outline/?snr=1_7_7_230_150_822
Hoarding Simulator,24 nov 2019,"
                        2,99€                    ",https://store.steampowered.com/app/1190980/Hoarding_Simulator/?snr=1_7_7_230_150_822
IsoBoom,14 aug 2017,"
                        0,99€                    ",https://store.steampowered.com/app/664140/IsoBoom/?snr=1_7_7_230_150_822
Feeling Square?,27 nov 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1222080/Feeling_Square/?snr=1_7_7_230_150_822
Truants,13 nov 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1332190/Truants/?snr=1_7_7_230_150_822
Super Keepy Ups,14 dec 2018,"
                        0,79€                    ",https://store.steampowered.com/app/959590/Super_Keepy_Ups/?snr=1_7_7_230_150_822
Starfighter General,22 nov 2020,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/658480/Starfighter_General/?snr=1_7_7_230_150_822
Tap Those Targets,25 jan 2021,"
                        1,59€                    ",https://store.steampowered.com/app/1514200/Tap_Those_Targets/?snr=1_7_7_230_150_822
Boost,11 jan 2017,"
                        8,99€                    ",https://store.steampowered.com/app/577370/Boost/?snr=1_7_7_230_150_822
Adventures of the Worm,18 aug 2017,"
                        0,99€                    ",https://store.steampowered.com/app/681410/Adventures_of_the_Worm/?snr=1_7_7_230_150_822
DAMAGE CONTROL,6 apr 2016,"
                        0,99€                    ",https://store.steampowered.com/app/450020/DAMAGE_CONTROL/?snr=1_7_7_230_150_822
Boom slayer,19 mei 2020,,https://store.steampowered.com/app/1295440/Boom_slayer/?snr=1_7_7_230_150_822
Piatka,16 sep 2017,"
                        2,39€                    ",https://store.steampowered.com/app/697450/Piatka/?snr=1_7_7_230_150_822
Depth Of Consciousness,26 jan 2019,"
                        4,99€                    ",https://store.steampowered.com/app/1011980/Depth_Of_Consciousness/?snr=1_7_7_230_150_822
Present Danger,26 jul 2021,"
                        1,59€                    ",https://store.steampowered.com/app/1547480/Present_Danger/?snr=1_7_7_230_150_822
The importance of choosing: second chance,15 jul 2020,,https://store.steampowered.com/app/1355470/The_importance_of_choosing_second_chance/?snr=1_7_7_230_150_822
Shooting Star,8 feb 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1180700/Shooting_Star/?snr=1_7_7_230_150_822
Paper Quest,24 mrt 2017,"
                        2,99€                    ",https://store.steampowered.com/app/590570/Paper_Quest/?snr=1_7_7_230_150_822
Owl's Midnight Journey,5 okt 2017,"
                        2,99€                    ",https://store.steampowered.com/app/710940/Owls_Midnight_Journey/?snr=1_7_7_230_150_822
Looney Rally,17 feb 2018,"
                        2,39€                    ",https://store.steampowered.com/app/799270/Looney_Rally/?snr=1_7_7_230_150_822
Xendless,1 jul 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1343330/Xendless/?snr=1_7_7_230_150_822
战术狂想3-枪战足球(Chimera of Tactics 3-Gun and Soccer),23 okt 2018,"
                        3,29€                    ",https://store.steampowered.com/app/944030/3Chimera_of_Tactics_3Gun_and_Soccer/?snr=1_7_7_230_150_822
Where Is The Beach?,18 jan 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1008260/Where_Is_The_Beach/?snr=1_7_7_230_150_822
RoadRunner VR,16 okt 2017,"
                        2,39€                    ",https://store.steampowered.com/app/691640/RoadRunner_VR/?snr=1_7_7_230_150_822
Artemis：We Are Escape,18 jan 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1215120/ArtemisWe_Are_Escape/?snr=1_7_7_230_150_822
F.E.X (Forced Evolution Experiment),24 aug 2017,"
                        6,99€                    ",https://store.steampowered.com/app/655700/FEX_Forced_Evolution_Experiment/?snr=1_7_7_230_150_822
Technosphere - Collector's Edition,9 apr 2019,"
                        5,69€                    ",https://store.steampowered.com/app/746110/Technosphere__Collectors_Edition/?snr=1_7_7_230_150_822
Vilundia,6 mrt 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1251470/Vilundia/?snr=1_7_7_230_150_822
BeeFender,25 jun 2018,"
                        0,87€                    ",https://store.steampowered.com/app/808450/BeeFender/?snr=1_7_7_230_150_822
Time Of Special Team(T.O.S.T),2 jun 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1322280/Time_Of_Special_TeamTOST/?snr=1_7_7_230_150_822
Wind from city,15 jan 2021,"
                        0,79€                    ",https://store.steampowered.com/app/1488420/Wind_from_city/?snr=1_7_7_230_150_822
Hexer,1 mrt 2021,"
                        0,79€                    ",https://store.steampowered.com/app/790030/Hexer/?snr=1_7_7_230_150_822
Unexpected Journey 奇幻之旅,1 jul 2018,"
                        1,59€                    ",https://store.steampowered.com/app/860400/Unexpected_Journey/?snr=1_7_7_230_150_822
PHAT STACKS 2,15 aug 2017,"
                        1,99€                    ",https://store.steampowered.com/app/655600/PHAT_STACKS_2/?snr=1_7_7_230_150_822
时间卡牌  TimelineCard,26 mei 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1308800/__TimelineCard/?snr=1_7_7_230_150_822
Next Hand Master,16 jan 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1138360/Next_Hand_Master/?snr=1_7_7_230_150_822
Battle Guns Simulator,16 apr 2021,"
                        1,59€                    ",https://store.steampowered.com/app/1584060/Battle_Guns_Simulator/?snr=1_7_7_230_150_823
Red Falcon,6 jan 2021,"
                        0,79€                    ",https://store.steampowered.com/app/1402700/Red_Falcon/?snr=1_7_7_230_150_823
Apocalypse Survivor,16 mei 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1282040/Apocalypse_Survivor/?snr=1_7_7_230_150_823
轩辕剑仙-正统东方修仙传说,1 feb 2022,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1732580/_/?snr=1_7_7_230_150_823
Raven: The Last Neko Slayer,23 jan 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1007470/Raven_The_Last_Neko_Slayer/?snr=1_7_7_230_150_823
Safari Grounds - The Wilpattu Leopard,2 okt 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1156130/Safari_Grounds__The_Wilpattu_Leopard/?snr=1_7_7_230_150_823
Box Voyage,1 jun 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1286950/Box_Voyage/?snr=1_7_7_230_150_823
Milky Strike,27 aug 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1393870/Milky_Strike/?snr=1_7_7_230_150_823
Dantes Bullet Inferno,19 feb 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1239990/Dantes_Bullet_Inferno/?snr=1_7_7_230_150_823
Chiptune DJ,17 aug 2018,"
                        1,59€                    ",https://store.steampowered.com/app/899020/Chiptune_DJ/?snr=1_7_7_230_150_823
All Cows In,6 dec 2017,"
                        1,99€                    ",https://store.steampowered.com/app/703800/All_Cows_In/?snr=1_7_7_230_150_823
Piping Hot,30 okt 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1168160/Piping_Hot/?snr=1_7_7_230_150_823
Shift Shaft,5 mrt 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1028610/Shift_Shaft/?snr=1_7_7_230_150_823
Battle Arena: Euro Wars,19 okt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/955620/Battle_Arena_Euro_Wars/?snr=1_7_7_230_150_823
Simple Fear,16 mrt 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1075960/Simple_Fear/?snr=1_7_7_230_150_823
Climb the Tower,20 nov 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1243900/Climb_the_Tower/?snr=1_7_7_230_150_823
Temple of Xiala,16 feb 2018,"
                        1,59€                    ",https://store.steampowered.com/app/774411/Temple_of_Xiala/?snr=1_7_7_230_150_823
There Is No Turning Back!,2 nov 2018,"
                        1,59€                    ",https://store.steampowered.com/app/956350/There_Is_No_Turning_Back/?snr=1_7_7_230_150_823
Mistero a Villa MilaFlora,4 mrt 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1028880/Mistero_a_Villa_MilaFlora/?snr=1_7_7_230_150_823
Sleep Paralysis : mystery of the mountain village,3 sep 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1134470/Sleep_Paralysis__mystery_of_the_mountain_village/?snr=1_7_7_230_150_823
Egg Rabbit,4 aug 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1349420/Egg_Rabbit/?snr=1_7_7_230_150_823
Anti-Grav Bamboo-copter,26 jan 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1005390/AntiGrav_Bamboocopter/?snr=1_7_7_230_150_823
Vintage Hero,4 aug 2017,"
                        1,59€                    ",https://store.steampowered.com/app/667240/Vintage_Hero/?snr=1_7_7_230_150_823
Torii Path,14 dec 2018,"
                        1,59€                    ",https://store.steampowered.com/app/930940/Torii_Path/?snr=1_7_7_230_150_823
Rubble Bubble,25 jun 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1298390/Rubble_Bubble/?snr=1_7_7_230_150_823
"Sarah, you are way too heavy",21 mei 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1077320/Sarah_you_are_way_too_heavy/?snr=1_7_7_230_150_823
FLYING SHOT,28 jan 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1206920/FLYING_SHOT/?snr=1_7_7_230_150_823
Shoot Covid-19 | 消灭新冠肺炎,3 sep 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1274150/Shoot_Covid19/?snr=1_7_7_230_150_823
DAMN!,8 sep 2017,"
                        1,59€                    ",https://store.steampowered.com/app/680450/DAMN/?snr=1_7_7_230_150_823
Asset Flip Tycoon Simulator,8 jul 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1205370/Asset_Flip_Tycoon_Simulator/?snr=1_7_7_230_150_823
Deathdays End,26 dec 2018,"
                        0,79€                    ",https://store.steampowered.com/app/964770/Deathdays_End/?snr=1_7_7_230_150_823
pop and well,23 jul 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1364750/pop_and_well/?snr=1_7_7_230_150_823
AngeliaLost,14 jun 2018,"
                        6,59€                    ",https://store.steampowered.com/app/805330/AngeliaLost/?snr=1_7_7_230_150_823
Squid Vs Vexus,7 sep 2018,"
                        0,79€                    ",https://store.steampowered.com/app/924430/Squid_Vs_Vexus/?snr=1_7_7_230_150_823
Heart World,25 dec 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1415580/Heart_World/?snr=1_7_7_230_150_823
Five Keys to Exit,15 feb 2018,"
                        0,79€                    ",https://store.steampowered.com/app/790160/Five_Keys_to_Exit/?snr=1_7_7_230_150_823
krAsAvA Shot,4 apr 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1054250/krAsAvA_Shot/?snr=1_7_7_230_150_823
Mariner Accident,10 okt 2018,"
                        0,79€                    ",https://store.steampowered.com/app/941320/Mariner_Accident/?snr=1_7_7_230_150_823
无法传达的话语（Words cannot convey）,3 aug 2018,"
                        1,59€                    ",https://store.steampowered.com/app/897270/Words_cannot_convey/?snr=1_7_7_230_150_823
Brain Marmelade,14 jul 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1361190/Brain_Marmelade/?snr=1_7_7_230_150_823
Garetto,19 feb 2021,"
                        0,79€                    ",https://store.steampowered.com/app/1545280/Garetto/?snr=1_7_7_230_150_823
Don't Look Back - VR,22 feb 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1028410/Dont_Look_Back__VR/?snr=1_7_7_230_150_823
Recycler's Terminal,28 mrt 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1035960/Recyclers_Terminal/?snr=1_7_7_230_150_823
天仙变,30 okt 2020,"
                        Gratis                    ",https://store.steampowered.com/app/1424890/_/?snr=1_7_7_230_150_823
Dragon Guide,5 aug 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1118390/Dragon_Guide/?snr=1_7_7_230_150_823
Dragon Guide,5 aug 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1118390/Dragon_Guide/?snr=1_7_7_230_150_824
Subject 95,11 jul 2021,"
                        0,79€                    ",https://store.steampowered.com/app/1674100/Subject_95/?snr=1_7_7_230_150_824
方圈 Square Circle,7 apr 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1268880/_Square_Circle/?snr=1_7_7_230_150_824
Evil Icebox,17 sep 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1406770/Evil_Icebox/?snr=1_7_7_230_150_824
Lifespan 5seconds,6 sep 2018,"
                        1,59€                    ",https://store.steampowered.com/app/925540/Lifespan_5seconds/?snr=1_7_7_230_150_824
Operation of North Kingdom,13 mei 2020,"
                        8,19€                    ",https://store.steampowered.com/app/1286150/Operation_of_North_Kingdom/?snr=1_7_7_230_150_824
TimeTraveler,25 apr 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1046740/TimeTraveler/?snr=1_7_7_230_150_824
生物大冒险,4 jan 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1211270/_/?snr=1_7_7_230_150_824
KOLOBOK,11 dec 2017,"
                        0,79€                    ",https://store.steampowered.com/app/757170/KOLOBOK/?snr=1_7_7_230_150_824
Pivot Puzzles,23 feb 2018,"
                        0,79€                    ",https://store.steampowered.com/app/713830/Pivot_Puzzles/?snr=1_7_7_230_150_824
Questery,30 apr 2018,"
                        0,79€                    ",https://store.steampowered.com/app/832020/Questery/?snr=1_7_7_230_150_824
Quirky Crook,27 mrt 2018,"
                        0,79€                    ",https://store.steampowered.com/app/765350/Quirky_Crook/?snr=1_7_7_230_150_824
