Title,col,Price,Field2_links
Coinon,19 jun 2018,"
                        2,39€                    ",https://store.steampowered.com/app/877750/Coinon/?snr=1_7_7_230_150_819
Monjarmageddon,22 mrt 2019,"
                        2,39€                    ",https://store.steampowered.com/app/738030/Monjarmageddon/?snr=1_7_7_230_150_819
Octo Gravity,3 jul 2018,"
                        0,79€                    ",https://store.steampowered.com/app/865800/Octo_Gravity/?snr=1_7_7_230_150_819
The Magic Storm,15 mei 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1292960/The_Magic_Storm/?snr=1_7_7_230_150_819
Sentenced,26 apr 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1055940/Sentenced/?snr=1_7_7_230_150_819
Draco VR Dragon Sim,20 mrt 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1239710/Draco_VR_Dragon_Sim/?snr=1_7_7_230_150_819
Space Robot Samurai Zombie Slayer,21 mei 2015,"
                        1,59€                    ",https://store.steampowered.com/app/364100/Space_Robot_Samurai_Zombie_Slayer/?snr=1_7_7_230_150_819
REFLASER,30 aug 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1123070/REFLASER/?snr=1_7_7_230_150_819
WiP,20 mei 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1299660/WiP/?snr=1_7_7_230_150_819
Keep It Safe 2,22 jun 2017,"
                        0,79€                    ",https://store.steampowered.com/app/660280/Keep_It_Safe_2/?snr=1_7_7_230_150_819
Flood Fill,21 sep 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1400920/Flood_Fill/?snr=1_7_7_230_150_819
Heroes Arena,27 jul 2018,"
                        0,79€                    ",https://store.steampowered.com/app/868470/Heroes_Arena/?snr=1_7_7_230_150_820
Three Of a Fish,1 okt 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1157080/Three_Of_a_Fish/?snr=1_7_7_230_150_820
Adventure Galaxy,16 nov 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1176090/Adventure_Galaxy/?snr=1_7_7_230_150_820
X-Town 3D game,15 apr 2018,"
                        3,99€                    ",https://store.steampowered.com/app/828160/XTown_3D_game/?snr=1_7_7_230_150_820
Quantum Multiverse,7 sep 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1145860/Quantum_Multiverse/?snr=1_7_7_230_150_820
RifleRange,14 mei 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1072850/RifleRange/?snr=1_7_7_230_150_820
Marvel's Midnight Suns,March 2022,"
                                            ",https://store.steampowered.com/app/368260/Marvels_Midnight_Suns/?snr=1_7_7_230_150_820
Go Home - Rage incoming,aug 2015,"
                        1,99€                    ",https://store.steampowered.com/app/365150/Go_Home__Rage_incoming/?snr=1_7_7_230_150_820
The Depths,25 apr 2021,"
                        1,59€                    ",https://store.steampowered.com/app/1548110/The_Depths/?snr=1_7_7_230_150_820
Synced Warriors,17 jan 2018,"
                        1,99€                    ",https://store.steampowered.com/app/764390/Synced_Warriors/?snr=1_7_7_230_150_820
Barrels Up,22 nov 2017,"
                        1,59€                    ",https://store.steampowered.com/app/728950/Barrels_Up/?snr=1_7_7_230_150_820
Sacrifice Dungeon,2 feb 2018,"
                        1,99€                    ",https://store.steampowered.com/app/785950/Sacrifice_Dungeon/?snr=1_7_7_230_150_820
Hostile Dimension,26 jun 2015,"
                        1,99€                    ",https://store.steampowered.com/app/371410/Hostile_Dimension/?snr=1_7_7_230_150_820
Adventures of Hendri,7 mrt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/792800/Adventures_of_Hendri/?snr=1_7_7_230_150_820
Lost In 80s II,20 mrt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/792820/Lost_In_80s_II/?snr=1_7_7_230_150_820
Shape Cascade,5 dec 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1177820/Shape_Cascade/?snr=1_7_7_230_150_820
Aurora,2 mrt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/789720/Aurora/?snr=1_7_7_230_150_820
Perigee,1 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/661070/Perigee/?snr=1_7_7_230_150_820
Box Survivors World,1 okt 2021,"
                        Gratis te spelen                    ",https://store.steampowered.com/app/1752840/Box_Survivors_World/?snr=1_7_7_230_150_820
FAUCET VR,7 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/810220/FAUCET_VR/?snr=1_7_7_230_150_820
Planet Assault,23 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/816200/Planet_Assault/?snr=1_7_7_230_150_820
VRRV,1 mei 2018,"
                        1,59€                    ",https://store.steampowered.com/app/686170/VRRV/?snr=1_7_7_230_150_820
DEFENDER OF EARTH VS THE ALIEN ARMADA,12 sep 2017,"
                        6,99€                    ",https://store.steampowered.com/app/677680/DEFENDER_OF_EARTH_VS_THE_ALIEN_ARMADA/?snr=1_7_7_230_150_820
The First Time I Died,5 jul 2017,"
                        1,99€                    ",https://store.steampowered.com/app/653770/The_First_Time_I_Died/?snr=1_7_7_230_150_820
Project Tank,1 mrt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/790100/Project_Tank/?snr=1_7_7_230_150_820
PaperCat,28 sep 2017,"
                        1,59€                    ",https://store.steampowered.com/app/706980/PaperCat/?snr=1_7_7_230_150_820
For Food Sake! VR,1 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/790890/For_Food_Sake_VR/?snr=1_7_7_230_150_820
Psycho Squirrels,15 mei 2018,"
                        1,59€                    ",https://store.steampowered.com/app/839460/Psycho_Squirrels/?snr=1_7_7_230_150_820
Flow Handcrafted,22 nov 2017,"
                        1,99€                    ",https://store.steampowered.com/app/747810/Flow_Handcrafted/?snr=1_7_7_230_150_820
CONTAINMENT,24 apr 2018,"
                        1,59€                    ",https://store.steampowered.com/app/783250/CONTAINMENT/?snr=1_7_7_230_150_820
Tommyknockers,15 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/794640/Tommyknockers/?snr=1_7_7_230_150_820
Skeleton Sprint,16 sep 2019,"
                        1,99€                    ",https://store.steampowered.com/app/690950/Skeleton_Sprint/?snr=1_7_7_230_150_820
Ladybird Reflect,18 apr 2018,"
                        1,59€                    ",https://store.steampowered.com/app/778770/Ladybird_Reflect/?snr=1_7_7_230_150_820
StickDodgeVR,3 aug 2017,"
                        1,99€                    ",https://store.steampowered.com/app/667930/StickDodgeVR/?snr=1_7_7_230_150_820
Summon Masks,6 mrt 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1249400/Summon_Masks/?snr=1_7_7_230_150_820
"Burn, Clown, Burn!",17 nov 2017,"
                        0,99€                    ",https://store.steampowered.com/app/740150/Burn_Clown_Burn/?snr=1_7_7_230_150_820
Shn!p,14 jul 2017,"
                        1,99€                    ",https://store.steampowered.com/app/664160/Shnp/?snr=1_7_7_230_150_820
Two Escapes,30 aug 2017,"
                        1,99€                    ",https://store.steampowered.com/app/692610/Two_Escapes/?snr=1_7_7_230_150_820
Galactic Delivery,23 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/781950/Galactic_Delivery/?snr=1_7_7_230_150_820
Stay Woke Etheral Edition,20 nov 2017,"
                        1,99€                    ",https://store.steampowered.com/app/740350/Stay_Woke_Etheral_Edition/?snr=1_7_7_230_150_820
Blendy 2 Dolls Factory,20 feb 2020,"
                        1,59€                    ",https://store.steampowered.com/app/1231040/Blendy_2_Dolls_Factory/?snr=1_7_7_230_150_821
Pirate Popper VR,29 apr 2021,"
                        1,59€                    ",https://store.steampowered.com/app/1170350/Pirate_Popper_VR/?snr=1_7_7_230_150_821
Take Care of the Paperwork,7 jul 2018,"
                        1,59€                    ",https://store.steampowered.com/app/882290/Take_Care_of_the_Paperwork/?snr=1_7_7_230_150_821
Night of the Shrub Part 1,4 apr 2018,"
                        1,59€                    ",https://store.steampowered.com/app/816840/Night_of_the_Shrub_Part_1/?snr=1_7_7_230_150_821
Solar Collector,10 nov 2017,"
                        1,76€                    ",https://store.steampowered.com/app/718240/Solar_Collector/?snr=1_7_7_230_150_821
Powerless,19 jan 2018,"
                        0,79€                    ",https://store.steampowered.com/app/775200/Powerless/?snr=1_7_7_230_150_821
The Great Unborn,16 feb 2021,"
                        0,79€                    ",https://store.steampowered.com/app/1535040/The_Great_Unborn/?snr=1_7_7_230_150_821
NickProject,9 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/803870/NickProject/?snr=1_7_7_230_150_821
Exocomets,13 jul 2017,"
                        1,59€                    ",https://store.steampowered.com/app/655950/Exocomets/?snr=1_7_7_230_150_821
Cosmic Monsters,30 dec 2019,"
                        0,79€                    ",https://store.steampowered.com/app/1124270/Cosmic_Monsters/?snr=1_7_7_230_150_821
Visitors: Marine Invasion,13 jul 2017,"
                        1,99€                    ",https://store.steampowered.com/app/661240/Visitors_Marine_Invasion/?snr=1_7_7_230_150_821
ZYTERNION,7 apr 2018,"
                        1,78€                    ",https://store.steampowered.com/app/820690/ZYTERNION/?snr=1_7_7_230_150_821
The Under,25 nov 2017,"
                        1,99€                    ",https://store.steampowered.com/app/726160/The_Under/?snr=1_7_7_230_150_821
Charpi,31 aug 2017,"
                        1,99€                    ",https://store.steampowered.com/app/694670/Charpi/?snr=1_7_7_230_150_821
Domino Effect,13 feb 2018,"
                        1,59€                    ",https://store.steampowered.com/app/767680/Domino_Effect/?snr=1_7_7_230_150_821
Mob Stadium,15 jun 2017,"
                        1,99€                    ",https://store.steampowered.com/app/650010/Mob_Stadium/?snr=1_7_7_230_150_821
Blasteron,9 nov 2017,"
                        1,59€                    ",https://store.steampowered.com/app/720850/Blasteron/?snr=1_7_7_230_150_821
The Scrungeon Depths,9 nov 2017,"
                        1,59€                    ",https://store.steampowered.com/app/731510/The_Scrungeon_Depths/?snr=1_7_7_230_150_821
Alien Invasion 3d,22 mrt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/818640/Alien_Invasion_3d/?snr=1_7_7_230_150_821
quadrantica,6 apr 2018,"
                        1,59€                    ",https://store.steampowered.com/app/657550/quadrantica/?snr=1_7_7_230_150_821
Virality,30 okt 2017,"
                        1,99€                    ",https://store.steampowered.com/app/740060/Virality/?snr=1_7_7_230_150_821
BigBoy - Visual Novel,15 aug 2018,"
                        1,59€                    ",https://store.steampowered.com/app/908690/BigBoy__Visual_Novel/?snr=1_7_7_230_150_821
Distant castle,11 mei 2018,"
                        1,59€                    ",https://store.steampowered.com/app/843400/Distant_castle/?snr=1_7_7_230_150_821
HeadSquare - Multiplayer VR Ball Game,28 nov 2017,"
                        1,99€                    ",https://store.steampowered.com/app/746340/HeadSquare__Multiplayer_VR_Ball_Game/?snr=1_7_7_230_150_821
Skyraine,2 sep 2017,"
                        1,99€                    ",https://store.steampowered.com/app/679430/Skyraine/?snr=1_7_7_230_150_821
Doom of the Clawn,7 feb 2020,"
                        0,79€                    ",https://store.steampowered.com/app/1185480/Doom_of_the_Clawn/?snr=1_7_7_230_150_821
OutBreak: The Escape,28 dec 2017,"
                        1,99€                    ",https://store.steampowered.com/app/756350/OutBreak_The_Escape/?snr=1_7_7_230_150_821
Fur Up,31 aug 2017,"
                        1,99€                    ",https://store.steampowered.com/app/681800/Fur_Up/?snr=1_7_7_230_150_821
Stabby Machine,31 jul 2018,"
                        1,59€                    ",https://store.steampowered.com/app/856550/Stabby_Machine/?snr=1_7_7_230_150_821
Jack & the cat,25 aug 2017,"
                        1,99€                    ",https://store.steampowered.com/app/668570/Jack__the_cat/?snr=1_7_7_230_150_821
The Rising of the Rose Ocelot,2 feb 2018,"
                        1,99€                    ",https://store.steampowered.com/app/779550/The_Rising_of_the_Rose_Ocelot/?snr=1_7_7_230_150_821
Samba Shooter,19 apr 2018,"
                        1,59€                    ",https://store.steampowered.com/app/811850/Samba_Shooter/?snr=1_7_7_230_150_821
Sorcerer's Path,5 mrt 2018,"
                        1,59€                    ",https://store.steampowered.com/app/776410/Sorcerers_Path/?snr=1_7_7_230_150_821
The Mechanical Room VR,16 jun 2017,"
                        1,59€                    ",https://store.steampowered.com/app/652900/The_Mechanical_Room_VR/?snr=1_7_7_230_150_821
Daydream,26 dec 2018,"
                        1,59€                    ",https://store.steampowered.com/app/765240/Daydream/?snr=1_7_7_230_150_821
Space Fighters,2 apr 2018,"
                        1,59€                    ",https://store.steampowered.com/app/800720/Space_Fighters/?snr=1_7_7_230_150_821
Sounds of Music,7 dec 2017,"
                        1,99€                    ",https://store.steampowered.com/app/752880/Sounds_of_Music/?snr=1_7_7_230_150_821
Sail Ships,4 jun 2018,"
                        1,59€                    ",https://store.steampowered.com/app/861510/Sail_Ships/?snr=1_7_7_230_150_821
Spadyssey,28 mrt 2018,"
                        1,99€                    ",https://store.steampowered.com/app/818370/Spadyssey/?snr=1_7_7_230_150_821
Dragon Iris,1 feb 2019,"
                        1,59€                    ",https://store.steampowered.com/app/1011760/Dragon_Iris/?snr=1_7_7_230_150_821
Corpse Mob,4 jun 2018,"
                        1,59€                    ",https://store.steampowered.com/app/828460/Corpse_Mob/?snr=1_7_7_230_150_821
Lightform,20 feb 2018,"
                        3,29€                    ",https://store.steampowered.com/app/777640/Lightform/?snr=1_7_7_230_150_821
Drifting Cloud,27 apr 2018,"
                        1,99€                    ",https://store.steampowered.com/app/773710/Drifting_Cloud/?snr=1_7_7_230_150_821
